country_code,indicator,year,value
ARE,imports_pct_gdp,2021,82.2668014928681
ARE,imports_pct_gdp,2020,83.2194445309836
ARE,imports_pct_gdp,2019,70.5198421376147
ARE,imports_pct_gdp,2018,63.9040622338676
ARE,imports_pct_gdp,2017,70.7391380638734
ARE,imports_pct_gdp,2016,70.9202430070485
ARE,imports_pct_gdp,2015,70.4236225679817
ARE,imports_pct_gdp,2014,64.7417651694601
ARE,imports_pct_gdp,2013,61.6429155817142
ARE,imports_pct_gdp,2012,61.036813624374
ARE,imports_pct_gdp,2011,58.5481559098621
ARE,imports_pct_gdp,2010,58.040188125584
ARE,fuel_exports_pct_merch_exports,2023,68.202872587783
ARE,fuel_exports_pct_merch_exports,2022,73.1440771980313
ARE,fuel_exports_pct_merch_exports,2021,70.3219846270872
ARE,fuel_exports_pct_merch_exports,2020,71.434331985329
ARE,fuel_exports_pct_merch_exports,2019,77.8387271988389
ARE,fuel_exports_pct_merch_exports,2018,68.5381737167988
ARE,fuel_exports_pct_merch_exports,2017,35.9982377334342
ARE,fuel_exports_pct_merch_exports,2016,31.5589751074458
ARE,fuel_exports_pct_merch_exports,2015,37.6515533891839
ARE,fuel_exports_pct_merch_exports,2014,50.7904126785472
ARE,fuel_exports_pct_merch_exports,2013,55.8450474819963
ARE,fuel_exports_pct_merch_exports,2012,47.2314196497577
ARE,fuel_exports_pct_merch_exports,2011,53.5351069475687
ARE,fuel_exports_pct_merch_exports,2010,49.9895856498744
ARE,food_imports_pct_merch_imports,2023,4.98896751809272
ARE,food_imports_pct_merch_imports,2022,5.58446625724263
ARE,food_imports_pct_merch_imports,2021,5.35670321702564
ARE,food_imports_pct_merch_imports,2020,6.82659326418843
ARE,food_imports_pct_merch_imports,2019,6.18405146475468
ARE,food_imports_pct_merch_imports,2018,7.30579317402429
ARE,food_imports_pct_merch_imports,2017,6.99707888598958
ARE,food_imports_pct_merch_imports,2016,5.91080832504944
ARE,food_imports_pct_merch_imports,2015,5.78591921199886
ARE,food_imports_pct_merch_imports,2014,5.52683313407757
ARE,food_imports_pct_merch_imports,2013,5.04314244016449
ARE,food_imports_pct_merch_imports,2012,5.89138072219693
ARE,food_imports_pct_merch_imports,2011,6.51232628789495
ARE,food_imports_pct_merch_imports,2010,6.00656231464003
ARE,remittances_pct_gdp,2024,0.325377481632911
ARE,remittances_pct_gdp,2023,0.359500398100958
ARE,fdi_net_inflows_pct_gdp,2024,8.26261604873876
ARE,fdi_net_inflows_pct_gdp,2023,5.87183983564899
ARE,fdi_net_inflows_pct_gdp,2022,4.44591398367961
ARE,fdi_net_inflows_pct_gdp,2021,4.89230595097426
ARE,fdi_net_inflows_pct_gdp,2020,5.56735667729859
ARE,fdi_net_inflows_pct_gdp,2019,4.11928554446951
ARE,fdi_net_inflows_pct_gdp,2018,2.35729206588897
ARE,fdi_net_inflows_pct_gdp,2017,2.5669608321193
ARE,fdi_net_inflows_pct_gdp,2016,2.51620120421066
ARE,fdi_net_inflows_pct_gdp,2015,2.23861341413826
ARE,fdi_net_inflows_pct_gdp,2014,2.60546090290076
ARE,fdi_net_inflows_pct_gdp,2013,2.3838227555723
ARE,fdi_net_inflows_pct_gdp,2012,2.43554180804761
ARE,fdi_net_inflows_pct_gdp,2011,1.93886244385384
ARE,fdi_net_inflows_pct_gdp,2010,2.85854098227163
ARE,unemployment_rate,2025,2.174
ARE,unemployment_rate,2024,2.16
ARE,unemployment_rate,2023,2.151
ARE,unemployment_rate,2022,2.872
ARE,unemployment_rate,2021,3.105
ARE,unemployment_rate,2020,4.294
ARE,unemployment_rate,2019,2.331
ARE,unemployment_rate,2018,2.236
ARE,unemployment_rate,2017,2.462
ARE,unemployment_rate,2016,1.64
ARE,unemployment_rate,2015,1.793
ARE,unemployment_rate,2014,1.999
ARE,unemployment_rate,2013,2.125
ARE,unemployment_rate,2012,2.323
ARE,unemployment_rate,2011,2.587
ARE,unemployment_rate,2010,2.798
BGD,external_debt_pct_gni,2024,22.2547977203389
BGD,external_debt_pct_gni,2023,22.285488486933
BGD,external_debt_pct_gni,2022,20.2659753173734
BGD,external_debt_pct_gni,2021,20.8766117836117
BGD,external_debt_pct_gni,2020,18.8853836099419
BGD,external_debt_pct_gni,2019,17.0856511809436
BGD,external_debt_pct_gni,2018,17.0924802738604
BGD,external_debt_pct_gni,2017,16.8057450414319
BGD,external_debt_pct_gni,2016,14.9717904789002
BGD,external_debt_pct_gni,2015,18.656464728563
BGD,external_debt_pct_gni,2014,19.1263744321957
BGD,external_debt_pct_gni,2013,20.0259278722599
BGD,external_debt_pct_gni,2012,20.1641903015642
BGD,external_debt_pct_gni,2011,19.4870042621521
BGD,external_debt_pct_gni,2010,21.3233746649766
BGD,external_debt_service_pct_exports,2024,15.7658301164336
BGD,external_debt_service_pct_exports,2023,12.5939799449972
BGD,external_debt_service_pct_exports,2022,11.2392162165619
BGD,external_debt_service_pct_exports,2021,11.4417559557247
BGD,external_debt_service_pct_exports,2020,10.4592111139286
BGD,external_debt_service_pct_exports,2019,13.1445525906638
BGD,external_debt_service_pct_exports,2018,6.79539373258512
BGD,external_debt_service_pct_exports,2017,5.79903429874665
BGD,external_debt_service_pct_exports,2016,4.92101273972835
BGD,external_debt_service_pct_exports,2015,5.00105961552124
BGD,external_debt_service_pct_exports,2014,6.13466573895137
BGD,external_debt_service_pct_exports,2013,6.11014310075419
BGD,external_debt_service_pct_exports,2012,6.03570025042511
BGD,external_debt_service_pct_exports,2011,5.629773751522
BGD,external_debt_service_pct_exports,2010,5.08304182414987
BGD,fiscal_balance_pct_gdp,2021,-2.82210670527631
BGD,fiscal_balance_pct_gdp,2020,-3.94714517667321
BGD,fiscal_balance_pct_gdp,2019,-3.92879733231891
BGD,fiscal_balance_pct_gdp,2018,-3.5361798688043
BGD,fiscal_balance_pct_gdp,2017,-2.93968284398895
BGD,fiscal_balance_pct_gdp,2016,-1.22173341431013
BGD,fiscal_balance_pct_gdp,2015,-1.33807311151329
BGD,fiscal_balance_pct_gdp,2014,-0.769287559545676
BGD,fiscal_balance_pct_gdp,2013,0.0690736503730761
BGD,fiscal_balance_pct_gdp,2012,-0.1373990191993
BGD,fiscal_balance_pct_gdp,2011,-0.822744381919415
BGD,fiscal_balance_pct_gdp,2010,-0.813674182832758
BGD,interest_payments_pct_revenue,2021,20.8277384040526
BGD,interest_payments_pct_revenue,2020,21.0903642354009
BGD,interest_payments_pct_revenue,2019,19.0400358921353
BGD,interest_payments_pct_revenue,2018,18.0722402064144
BGD,interest_payments_pct_revenue,2017,18.7004546302975
BGD,interest_payments_pct_revenue,2016,18.4590815688377
BGD,interest_payments_pct_revenue,2015,20.4265885640651
BGD,interest_payments_pct_revenue,2014,18.4370651150336
BGD,interest_payments_pct_revenue,2013,17.1762291283182
BGD,interest_payments_pct_revenue,2012,16.744483390165
BGD,interest_payments_pct_revenue,2011,15.8622555734813
BGD,interest_payments_pct_revenue,2010,18.305351091756
BGD,bank_npl_pct_loans,2024,18.9607821141026
BGD,bank_npl_pct_loans,2023,9.56912775275672
BGD,bank_npl_pct_loans,2022,8.72436040117116
BGD,bank_npl_pct_loans,2021,7.96907960398036
BGD,bank_npl_pct_loans,2020,7.73754873370445
BGD,bank_npl_pct_loans,2019,8.90213335235846
BGD,bank_npl_pct_loans,2018,9.88732966644866
BGD,bank_npl_pct_loans,2017,8.89566055291347
BGD,bank_npl_pct_loans,2016,8.8585217562526
BGD,bank_npl_pct_loans,2015,8.39790781352824
BGD,bank_npl_pct_loans,2014,9.36516719804562
BGD,bank_npl_pct_loans,2013,4.84439636539415
BGD,bank_npl_pct_loans,2012,6.72327958982541
BGD,bank_npl_pct_loans,2011,1.9042059394074
BGD,private_credit_pct_gdp,2025,34.504343787161
BGD,private_credit_pct_gdp,2024,35.8111715787963
BGD,private_credit_pct_gdp,2023,37.6413802339103
BGD,private_credit_pct_gdp,2022,38.9555684288032
BGD,private_credit_pct_gdp,2021,39.0820163295701
BGD,private_credit_pct_gdp,2020,39.161059242521
BGD,private_credit_pct_gdp,2019,39.0344709350066
BGD,private_credit_pct_gdp,2018,40.0247365906979
BGD,private_credit_pct_gdp,2017,40.4489561448676
BGD,private_credit_pct_gdp,2016,37.7986426672318
BGD,private_credit_pct_gdp,2015,44.4069718062837
BGD,private_credit_pct_gdp,2014,43.7361238704853
BGD,private_credit_pct_gdp,2013,41.7947548053392
BGD,private_credit_pct_gdp,2012,43.0006693750914
BGD,private_credit_pct_gdp,2011,42.4702411629772
BGD,private_credit_pct_gdp,2010,40.9613226292342
BGD,exports_pct_gdp,2025,11.1161085689856
BGD,exports_pct_gdp,2024,10.4611878291715
BGD,exports_pct_gdp,2023,13.1571638341204
BGD,exports_pct_gdp,2022,12.8822264348985
BGD,exports_pct_gdp,2021,10.6627789004134
BGD,exports_pct_gdp,2020,10.4427880616037
BGD,exports_pct_gdp,2019,13.0947573353039
BGD,exports_pct_gdp,2018,12.6747879443391
BGD,exports_pct_gdp,2017,12.8197468906003
BGD,exports_pct_gdp,2016,13.9212044814459
BGD,exports_pct_gdp,2015,17.3366737865485
BGD,exports_pct_gdp,2014,18.9896599950107
BGD,exports_pct_gdp,2013,19.5378741098798
BGD,exports_pct_gdp,2012,20.1615888640625
BGD,exports_pct_gdp,2011,19.9220749554939
BGD,exports_pct_gdp,2010,16.0241126856916
BGD,imports_pct_gdp,2025,16.8344754735707
BGD,imports_pct_gdp,2024,16.3168879748762
BGD,imports_pct_gdp,2023,17.8258075763392
BGD,imports_pct_gdp,2022,20.897740835675
BGD,imports_pct_gdp,2021,17.0612258032497
BGD,imports_pct_gdp,2020,15.8286593146113
BGD,imports_pct_gdp,2019,18.4832971559365
BGD,imports_pct_gdp,2018,19.8398437797492
BGD,imports_pct_gdp,2017,17.179983781834
BGD,imports_pct_gdp,2016,17.4129456531683
BGD,imports_pct_gdp,2015,24.7493225204896
BGD,imports_pct_gdp,2014,25.5244202017989
BGD,imports_pct_gdp,2013,26.7585286129376
BGD,imports_pct_gdp,2012,27.9493338849842
BGD,imports_pct_gdp,2011,27.4987748801959
BGD,imports_pct_gdp,2010,21.7787299851405
BGD,fuel_exports_pct_merch_exports,2018,1.09687826106508
BGD,fuel_exports_pct_merch_exports,2017,0.682738569544682
BGD,fuel_exports_pct_merch_exports,2016,0.799979316816806
BGD,fuel_exports_pct_merch_exports,2015,0.561290711404927
BGD,fuel_exports_pct_merch_exports,2013,1.13549487669373
BGD,fuel_exports_pct_merch_exports,2012,1.82373354611352
BGD,fuel_exports_pct_merch_exports,2011,1.15197562004724
BGD,fuel_exports_pct_merch_exports,2010,1.87340450699641
BGD,food_imports_pct_merch_imports,2018,13.0022763018655
BGD,food_imports_pct_merch_imports,2017,18.9346180073446
