country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption,bank_npl_pct_loans,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,fdi_net_inflows_pct_gdp,fiscal_balance_pct_gdp,food_imports_pct_merch_imports,fuel_exports_pct_merch_exports,imports_pct_gdp,interest_payments_pct_revenue,private_credit_pct_gdp,remittances_pct_gdp,unemployment_rate,sovereign_default,imf_program_entry
IRN,2011,,,,2.6457179180628,26.2933856738608,3.531538341161331,59.58357765906219,54.74595780179581,58.2099228416016,70.53842458428744,74.42474439850956,,24.9333131264674,2.74169060239135,1.04203676500054,0.679834574763516,,14.1303676502876,70.5041242804763,16.2861016653904,,49.2475078971103,,12.491,0,0
IRQ,2011,,14.065166727563,13.7756734191734,7.546471200426,5.6040514426601,0.0,73.13680881483806,73.60565917212185,70.76845659856914,62.34609084018129,84.96360930645007,,44.4175230392819,,,1.12086339764167,,,99.7790725268102,27.7538051840835,,5.41445203995753,0.120054052677278,8.193,0,0
ISR,2011,,0.959067083330991,8.81396403077087,5.51341969081251,3.48837209302323,-4.301865986798518,46.27413377221692,0.0,0.0,0.0,15.224177148707737,,34.2274243361125,,,3.23187455100204,-3.66965962799645,7.24344911239348,0.971529018503775,34.7735478331397,11.9221448754195,67.4637001049575,0.222081660467562,7.139,0,0
JOR,2011,59.14696729647473,-9.05634436432946,6.51551435816016,2.90729315392207,4.1624416292779,0.0,41.99295781934656,35.18050220738204,22.654484563736567,29.663893349369857,35.556436771394445,,,59.7339174529003,6.4642364896789,4.5528280155948,-5.96601271382941,16.1062196225209,0.184803898952021,,7.9332828460075,64.9687824263859,11.2864912876408,12.9,0,0
KWT,2011,,42.9408981326277,8.27693096964217,9.62863419534361,4.8394034987095,-3.7080958816827705,18.6065928688335,38.1372435314187,17.87232444395605,26.87158145439949,43.73583382417198,6.98424741091625,73.2176749998524,,,2.11573865053541,,16.7984035196711,94.8418724155951,25.8988177648389,,60.8062581893838,0.0036584551961647,2.051,0,0
LBN,2011,,-13.8340690487529,17.4585392339282,0.86733987855277,4.97148571692384,0.0,62.01625727271028,46.66718420190503,41.9020566405202,43.541715466847904,71.62414231258846,3.75693478858307,36.3630972315613,125.151296416081,47.8987074251357,7.85693989450406,-6.44392893285082,15.4390501936215,0.098238163773614,65.7767851809418,42.9581798153986,89.987856569182,17.2252495411949,7.352,0,0
LBY,2011,,6.62746278785412,79.2372182724926,-50.3385151384986,15.5184815317562,-3.365746119495664,66.34393231228832,76.45706965122592,63.6323926657531,77.9445986342909,85.39555798227748,,38.1458963988027,,,,,,,24.8595388907261,,14.1819194729211,,19.504,0,0
LKA,2011,100.0,-6.81209765681019,3.46079601554795,8.66948301160571,6.7167684358854,-2.2104843072765976,45.24297349230697,43.875426162169326,36.00935794477986,34.66319757421026,49.73486889638457,3.81740370617271,,38.4422070940857,9.31997112621852,1.41088360151362,-5.59601219344153,12.8920471742762,0.440288017795888,,37.5712825436328,33.7387969525402,7.60554994919627,4.118,0,0
MAR,2011,49.05463901820946,-7.26703537698178,4.96289903192589,5.52464523319847,0.9069249096918,-3.888287713885986,38.87868519991708,43.92446194655712,38.92741294637316,37.5104502426265,58.90084362369752,5.44855241763618,31.9544842646976,27.6980798517634,9.88853852756038,2.29046840496639,-6.07615405289125,12.6362660609577,4.34145432822333,44.8713872259271,8.17501572516698,86.804176959607,6.59181438537164,8.91,0,0
MDV,2011,66.93558719965095,-13.8208553363039,1.54809073830576,8.84342600490342,11.2734146055937,14.078190653878124,33.47144204017521,41.938550533079365,41.97994172568679,42.49676332814218,60.20618459181656,,,35.5158602200661,3.41197302473943,15.2659407539778,-6.81072956170978,20.9642438244994,0.0454484866151526,,7.745879610664,42.428163613364,0.108044719668789,10.043,0,0
