country_code,year,access_to_electricity_pct,agriculture_pct_gdp,external_debt_private_nonguaranteed_usd,external_debt_public_publicly_guaranteed_usd,external_debt_stock_total_usd,gdp_per_capita_usd,gni_per_capita_atlas_usd,industry_pct_gdp,internet_users_pct,life_expectancy_years,manufacturing_pct_gdp,population,services_pct_gdp,urban_population_pct
BHR,2010,100.0,0.285542784290186,,,,21819.3291098099,19510.0,43.9268581860394,55.0,78.593,14.5894702377704,1228543.0,54.7856196764576,100.0
BHR,2011,100.0,0.279873967809159,,,,25032.7867743333,20040.0,48.2947958378082,76.9999665032303,79.141,15.0474932254141,1195020.0,50.6068677586612,100.0
BHR,2012,100.0,0.265180259339138,,,,26438.6733230428,24670.0,46.3397302766462,88.0,79.622,14.7645578720345,1208964.0,52.4449503421466,100.0
BHR,2013,100.0,0.264280047210277,,,,26989.7601148469,25970.0,46.6971284608616,90.0000397,79.998,14.6994276422304,1253191.0,52.1331512230717,100.0
BHR,2014,100.0,0.287965783699072,,,,26451.7965647453,25480.0,45.3135767644884,90.5031334814656,80.214,14.8385364760484,1314562.0,53.7209538895267,100.0
BHR,2015,100.0,0.301911232209971,,,,23734.0551143019,23640.0,39.0907990671172,93.4783007986129,80.338,17.1732865801602,1370322.0,59.7147216888712,100.0
BHR,2016,100.0,0.315996684624948,,,,23800.001440631,22720.0,38.2033398636175,97.9999807024146,80.407,17.8416468874405,1423726.0,60.7104509663565,100.0
BHR,2017,100.0,0.27707464645461,,,,24784.7693514607,22360.0,39.9934662996166,95.8781357543453,80.407,18.1844891096654,1501116.0,58.8266074582833,100.0
BHR,2018,100.0,0.275112316804637,,,,26324.4066549559,24200.0,41.4758871750475,98.6446725799886,80.412,17.1706919683066,1503091.0,57.2061547726912,100.0
BHR,2019,100.0,0.268674381904261,,,,27259.7438599327,25800.0,40.6177669647554,99.7015043807778,80.471,17.0407022619674,1483756.0,56.3995265649658,100.0
BHR,2020,100.0,0.303155113748103,,,,24342.8444554718,23870.0,39.1001079781372,99.67103159,78.683,18.0468944226138,1472204.0,57.8230716997095,100.0
BHR,2021,100.0,0.268626041292218,,,,27147.8083882286,25240.0,44.2164324898801,100.0,78.083,20.528955608,1504365.0,52.8740707167008,100.0
BHR,2022,100.0,0.246160469147506,,,,30470.5219276023,28300.0,46.3896273702963,100.0,80.992,20.9350892016844,1524693.0,49.2411387955769,100.0
BHR,2023,100.0,0.251492806718451,,,,29290.1284215098,28460.0,43.4381277604186,100.0,81.284,20.1297882520386,1577059.0,51.944952554339,100.0
BHR,2024,100.0,0.244977877737017,,,,29717.1424605273,28170.0,42.1777148976475,100.0,81.423,19.8667805404306,1588670.0,53.3036182185741,100.0
BHR,2025,,0.240579157170771,,,,30596.5794898885,28790.0,41.2104128762928,,,19.8945041496894,1600366.0,54.3219305027559,100.0
BTN,2010,73.3,12.4128589573486,,919405320.9,934629272.1,2435.5798056672,2180.0,39.32493053906,13.6,68.765,7.87736041683871,701632.0,43.0053074381572,33.9051967813552
BTN,2011,81.8,11.7996340560809,9882000.0,1043414808.3,1070492249.6,2787.97967608562,2430.0,37.4178826768856,14.39999962,69.28,7.42869932431373,709377.0,44.7529435650107,34.4637606688377
BTN,2012,91.5,11.5729895457402,7706000.0,1357737704.1,1449649027.4,2751.2128864294,2620.0,38.2126912443455,15.60000038,69.759,7.95902922340763,717279.0,42.3928113368956,35.0188644248365
