reporter_code,flow,year,hs2_code,value_usd
EGY,X,2025,21,981754652.109
EGY,X,2025,27,5028849663.449
EGY,X,2025,44,75645914.644
EGY,X,2025,64,50477353.494
EGY,X,2025,85,3459299877.74
EGY,X,2025,88,90193863.114
EGY,X,2025,91,1113611.92
EGY,X,2025,13,5385290.791
EGY,X,2025,30,507221071.403
EGY,X,2025,33,391138893.284
EGY,X,2025,36,144202842.159
EGY,X,2025,53,120569316.42
EGY,X,2025,56,172468491.267
EGY,X,2025,70,695981415.846
EGY,X,2025,73,774878191.15
EGY,X,2025,94,327451711.985
EGY,X,2025,97,437576.798
EGY,X,2025,22,29532899.315
EGY,X,2025,39,2588355439.058
EGY,X,2025,42,4602900.298
EGY,X,2025,59,8127765.245
EGY,X,2025,62,2325227648.527
EGY,X,2025,80,100.0
EGY,X,2025,83,16701907.061
EGY,X,2025,86,2556443.081
IRQ,M,2024,61,153233090.0
IRQ,M,2024,60,1113325.0
IRQ,M,2024,63,84900640.0
IRQ,M,2024,64,88702715.0
IRQ,M,2024,65,6042710.0
IRQ,M,2024,66,2228653.0
IRQ,M,2024,67,2400898.0
IRQ,M,2024,68,514744087.0
IRQ,M,2024,69,388621105.0
IRQ,M,2024,70,1937068631.0
IRQ,M,2024,71,2015379735.0
IRQ,M,2024,72,919236288.0
IRQ,M,2024,73,3255803191.0
IRQ,M,2024,74,1270288084.0
IRQ,M,2024,75,110654444.0
IRQ,M,2024,76,283414086.0
IRQ,M,2024,79,44423088.0
IRQ,M,2024,78,322904.0
IRQ,M,2024,80,4363474.0
IRQ,M,2024,81,1933824.0
IRQ,M,2024,82,3002861873.0
IRQ,M,2024,83,66029232.0
IRQ,M,2024,84,3514376996.0
IRQ,M,2024,85,1943995722.0
IRQ,M,2024,87,4442800274.0
IRQ,M,2024,86,296142.0
IRQ,M,2024,89,8199435.0
IRQ,M,2024,90,846973545.0
IRQ,M,2024,88,70352708.0
IRQ,M,2024,92,634701.0
IRQ,M,2024,93,400628022.0
IRQ,M,2024,91,20054940.0
IRQ,M,2024,94,249649874.0
IRQ,M,2024,95,58360383.0
IRQ,M,2024,96,61747199.0
IRQ,M,2024,97,696542.0
IRQ,M,2024,01,110448552.0
IRQ,M,2024,02,654418550.0
IRQ,M,2024,07,300951378.0
IRQ,M,2024,04,653429130.0
IRQ,M,2024,05,170146.0
IRQ,M,2024,06,3290344.0
IRQ,M,2024,09,167668954.0
IRQ,M,2024,08,743671864.0
IRQ,M,2024,10,530119821.0
IRQ,M,2024,11,47934137.0
IRQ,M,2024,12,206840437.0
IRQ,M,2024,16,128619685.0
IRQ,M,2024,13,8840558.0
IRQ,M,2024,14,377845.0
IRQ,M,2024,15,391896192.0
IRQ,M,2024,17,727245195.0
IRQ,M,2024,19,273085990.0
IRQ,M,2024,18,101720541.0
IRQ,M,2024,21,215939967.0
IRQ,M,2024,22,29882016.0
IRQ,M,2024,23,282178646.0
IRQ,M,2024,24,28500401.0
IRQ,M,2024,20,313361738.0
IRQ,M,2024,25,140261347.0
IRQ,M,2024,26,14206364.0
IRQ,M,2024,27,2176391202.0
IRQ,M,2024,28,144886160.0
IRQ,M,2024,29,42834297.0
IRQ,M,2024,30,2423393792.0
IRQ,M,2024,31,228476743.0
IRQ,M,2024,32,73776989.0
IRQ,M,2024,34,166557478.0
IRQ,M,2024,35,30294852.0
IRQ,M,2024,33,113911465.0
IRQ,M,2024,37,7880328.0
IRQ,M,2024,36,548352.0
IRQ,M,2024,38,399110283.0
IRQ,M,2024,39,2106241604.0
IRQ,M,2024,40,1302046522.0
IRQ,M,2024,41,271808.0
IRQ,M,2024,42,32561074.0
IRQ,M,2024,43,967525.0
IRQ,M,2024,44,142671587.0
IRQ,M,2024,03,65898724.0
IRQ,M,2024,45,22849411.0
IRQ,M,2024,46,19240648.0
IRQ,M,2024,48,194299839.0
IRQ,M,2024,47,5288793.0
IRQ,M,2024,49,43038097.0
IRQ,M,2024,50,7776166.0
IRQ,M,2024,51,1482856.0
IRQ,M,2024,52,20907629.0
IRQ,M,2024,54,29007889.0
IRQ,M,2024,53,6896589.0
IRQ,M,2024,55,27999934.0
IRQ,M,2024,56,8811186.0
IRQ,M,2024,57,41917417.0
IRQ,M,2024,58,6528349.0
IRQ,M,2024,59,7242431.0
IRQ,M,2024,62,137189116.0
IRQ,X,2024,01,45000.0
IRQ,X,2024,05,10000.0
IRQ,X,2024,06,4000.0
IRQ,X,2024,07,3946375.0
IRQ,X,2024,02,6149320.0
IRQ,X,2024,04,6704730.0
IRQ,X,2024,08,51359650.0
IRQ,X,2024,12,8301492.0
IRQ,X,2024,09,2160.0
IRQ,X,2024,10,10052900.0
IRQ,X,2024,13,1112544.0
IRQ,X,2024,15,405214500.0
IRQ,X,2024,11,9104441.0
IRQ,X,2024,16,2826060.0
IRQ,X,2024,17,3910656.0
IRQ,X,2024,19,875236.0
IRQ,X,2024,20,9236726.0
IRQ,X,2024,21,403002.0
IRQ,X,2024,22,2622920.0
IRQ,X,2024,18,4476700.0
IRQ,X,2024,23,654795.0
IRQ,X,2024,24,18090435.0
IRQ,X,2024,25,2654400.0
IRQ,X,2024,26,20000.0
IRQ,X,2024,27,104057434843.0
IRQ,X,2024,32,279760500.0
IRQ,X,2024,28,28515745.0
IRQ,X,2024,33,145500.0
IRQ,X,2024,34,1704633.0
IRQ,X,2024,38,105208899.0
IRQ,X,2024,39,7628303.0
IRQ,X,2024,41,3563412.0
