reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
TUR,M,2025,8,,76778267.0
TUR,M,2025,10,,292.0
TUR,M,2025,12,DZA,1462252366.0
TUR,M,2025,16,,63015.0
TUR,M,2025,20,,5786901.0
TUR,M,2025,24,,10943727.0
TUR,M,2025,28,,16527.0
TUR,M,2025,31,,1308911150.0
TUR,M,2025,32,,650269357.0
TUR,M,2025,36,,592378543.0
TUR,M,2025,40,,2266515383.0
TUR,M,2025,44,,3205.0
TUR,M,2025,48,BHR,156075508.0
TUR,M,2025,50,BGD,926439439.0
TUR,M,2025,51,,6016537.0
TUR,M,2025,52,,685532.0
TUR,M,2025,56,,4236519524.0
TUR,M,2025,60,,44057.0
TUR,M,2025,64,BTN,274374.0
TUR,M,2025,68,,682134629.0
TUR,M,2025,70,,314305307.0
TUR,M,2025,72,,171416.0
TUR,M,2025,74,,9.0
TUR,M,2025,76,,4547266842.0
TUR,M,2025,84,,36504.0
TUR,M,2025,86,,69511.0
TUR,M,2025,90,,213.0
TUR,M,2025,92,,14822845.0
TUR,M,2025,96,,5645.0
TUR,M,2025,100,,2875849130.0
TUR,M,2025,104,,254877241.0
TUR,M,2025,108,,827618.0
TUR,M,2025,112,,194532200.0
TUR,M,2025,116,,359812238.0
TUR,M,2025,120,,159828030.0
TUR,M,2025,124,,1162832980.0
TUR,M,2025,132,,9326.0
TUR,M,2025,136,,144.0
TUR,M,2025,140,,8971832.0
TUR,M,2025,144,LKA,127546906.0
TUR,M,2025,148,,124565600.0
TUR,M,2025,152,,164816456.0
TUR,M,2025,156,,49575937468.0
TUR,M,2025,162,,1056.0
TUR,M,2025,170,,525198708.0
TUR,M,2025,174,,1974919.0
TUR,M,2025,178,,10903373.0
TUR,M,2025,180,,25253053.0
TUR,M,2025,184,,4684031.0
TUR,M,2025,188,,96017057.0
TUR,M,2025,191,,214082995.0
TUR,M,2025,192,,18698688.0
TUR,M,2025,196,,116362656.0
TUR,M,2025,203,,4095991684.0
TUR,M,2025,204,,3825938.0
TUR,M,2025,208,,1285691427.0
TUR,M,2025,212,,644656.0
TUR,M,2025,214,,33972588.0
TUR,M,2025,218,,242648977.0
TUR,M,2025,222,,4439983.0
TUR,M,2025,226,,191961.0
TUR,M,2025,231,ETH,96470533.0
TUR,M,2025,232,ERI,212951.0
TUR,M,2025,233,,236471534.0
TUR,M,2025,234,,6203962.0
TUR,M,2025,238,,31028.0
TUR,M,2025,239,,5881.0
TUR,M,2025,242,,237318.0
TUR,M,2025,246,,1311248271.0
TUR,M,2025,251,,12855951494.0
TUR,M,2025,258,,967.0
TUR,M,2025,260,,1564.0
TUR,M,2025,262,DJI,1328.0
TUR,M,2025,266,,33601060.0
TUR,M,2025,268,,375958355.0
TUR,M,2025,270,,10504728.0
TUR,M,2025,275,PSE,28924564.0
TUR,M,2025,276,,30109548270.0
TUR,M,2025,288,,374766089.0
TUR,M,2025,292,,37883.0
TUR,M,2025,296,,652.0
TUR,M,2025,300,,1307541607.0
TUR,M,2025,304,,2235.0
TUR,M,2025,308,,3390.0
TUR,M,2025,316,,100.0
TUR,M,2025,320,,40203183.0
TUR,M,2025,324,,38565696.0
TUR,M,2025,328,,5623272.0
TUR,M,2025,332,,1354473.0
TUR,M,2025,334,,12.0
TUR,M,2025,336,,1862.0
TUR,M,2025,340,,13391040.0
TUR,M,2025,344,,65178241.0
TUR,M,2025,348,,3308239770.0
TUR,M,2025,352,,45382533.0
TUR,M,2025,360,,2099992852.0
TUR,M,2025,364,IRN,2493301886.0
TUR,M,2025,368,IRQ,1961972510.0
TUR,M,2025,372,,1653443194.0
TUR,M,2025,380,,15735722912.0
TUR,M,2025,384,,852173676.0
TUR,M,2025,388,,224336.0
TUR,M,2025,392,,5029507474.0
TUR,M,2025,398,,4664075960.0
TUR,M,2025,400,JOR,112468966.0
TUR,M,2025,404,,27786876.0
TUR,M,2025,410,,10260773256.0
TUR,M,2025,414,KWT,195140972.0
TUR,M,2025,417,,304291943.0
TUR,M,2025,418,,7754199.0
TUR,M,2025,422,LBN,134449667.0
TUR,M,2025,426,,30486.0
TUR,M,2025,428,,222194163.0
TUR,M,2025,430,,18152068.0
TUR,M,2025,434,LBY,384578183.0
TUR,M,2025,440,,546555466.0
TUR,M,2025,442,,165539586.0
TUR,M,2025,446,,1079699.0
TUR,M,2025,450,,13605448.0
TUR,M,2025,454,,61895458.0
TUR,M,2025,458,,5028980726.0
