country_code,year,control_of_corruption,currency_depreciation_pct,current_account_pct_gdp,debt_to_gdp,exports_pct_gdp,fdi_net_inflows_pct_gdp,gdp_current_usd,gdp_growth,gdp_per_capita_usd,gini_index,government_effectiveness,imports_pct_gdp,inflation,official_exchange_rate_lcu_usd,political_stability,regulatory_quality,reserves_months_imports,rule_of_law,total_reserves_usd,unemployment_rate,youth_unemployment_rate
LKA,2014,-0.4501459,1.158801824985175,-2.40840557196081,68.5910423360777,,1.08277813405104,82531125461.843,6.37797889684965,3972.04377042271,,0.1397088,,3.1790022823606,130.564685218829,-0.553597999999999,-0.0063463,3.92468380375978,-0.3605151,8210750127.74159,4.157,18.781
LKA,2015,-0.3413605,4.053337676562478,-2.21267766608825,73.5126591623625,19.893383820467,0.798746316666859,85090300895.6546,4.20595547501601,4057.71582716521,,0.0898368,27.0245869884029,3.76836783062096,135.856912797089,-0.0885947,0.0306457,3.48457714580902,-0.110513199999999,7302096590.22385,4.519,19.231
LKA,2016,-0.2510246,7.158086029425357,-1.97999493165089,,19.824036042668,1.01937184801285,88000210878.1236,5.05362488993089,4149.19189391879,39.3,-0.0370534999999999,26.6475009824081,3.9588884659307,145.581667492026,-0.1436337,-0.0445476,2.79773151721733,-0.1066651,6008199165.17799,4.242,20.07
LKA,2017,-0.307832799999999,4.71539210602667,-2.4467643490753,,20.2242000359935,1.45462805110061,94369350439.4732,6.46068127080994,4398.88828786059,,-0.0698946,26.9162097641559,7.70413767850602,152.446413948767,-0.179121299999999,-0.1170039,3.42413053355997,-0.111659899999999,7959047614.93675,4.046,17.391
LKA,2018,-0.2047049,6.571781210529445,-2.96352841915887,,21.4462486145463,1.70888696252064,94450015982.806,2.31008425504933,4358.56095905888,,-0.0975670999999999,28.3631481374973,2.135037737132,162.464858736778,-0.2597255,-0.1897983,2.81773247932961,-0.0575940999999999,6920825566.09992,4.318,20.496
LKA,2019,-0.1639347,10.020669353147062,-2.07126631647205,,21.8235309246323,0.835367460265196,88998706177.9986,-0.220483886824823,4081.94772178134,37.7,-0.0713311,27.6019929606444,3.52839358231811,178.744925045848,-0.173798099999999,-0.186002,3.36492073802705,-0.0781005999999999,7648305273.42442,4.67,20.425
LKA,2020,-0.2760375,3.8309522491945462,-1.40761495020573,,15.4576399170356,0.514700553944402,84335574372.2997,-4.62451503712715,3847.60136741182,,-0.1134357,21.6314789397836,6.15394508391738,185.592557772213,-0.1154138,-0.1122765,3.28744685628801,-0.1909487,5663994385.32784,5.364,25.449
LKA,2021,-0.3367364,7.097137531026084,-3.70866603299245,,16.9214215897796,0.668825708548416,88556699052.2008,4.2074764950026,3996.96240531688,,-0.2353399,24.3074247397182,7.01478071238195,198.764316844656,-0.510938,-0.1629445,1.59499450325141,-0.2315397,3136991506.34787,4.981,25.371
LKA,2022,-0.3533578,62.31921271292782,-1.95359411068218,,21.5595624612904,1.19249322162632,74143020303.663,-7.34919311146656,3342.63650438046,,-0.503783099999999,25.1230455566456,49.7211021114327,322.632674256475,-0.7621199,-0.456906,1.06429793828172,-0.3299184,1896231717.15846,4.528,21.732
LKA,2023,-0.3868314,1.5106526603636932,1.71159541534782,,20.5995283672112,0.848017076796717,84080307355.5983,-2.0289296690344,3815.41531767474,,-0.2845545,22.7481397523022,16.5411742279832,327.506533333333,-0.670013,-0.3799918,2.38312008892393,-0.31553,4405117005.00662,4.528,20.342
LKA,2024,-0.384770899999999,,1.21048332599166,,19.7559774138192,0.764077754153862,99616111265.7633,4.99241614398109,4545.36006870612,,-0.2745215,22.3636324192921,-0.42936004906973,,-0.350302399999999,-0.299213499999999,2.86493580597895,-0.2577461,6093946546.37437,4.239,19.062
LKA,2025,,,,,18.9673796128721,,108825231671.196,4.9534339114043,5002.07904353724,,,22.8416230396327,-4.76386036960983,,,,,,,4.005,18.578
MAR,2010,-0.3011276,,-3.89149487244856,47.0982656739638,29.7889486802284,1.2299824583835,100865329473.44,3.49955709403216,3067.9853515625,,-0.116891399999999,39.7530309299157,0.993557401226392,8.41715833333333,-0.440469399999999,0.0236412,7.27489844884876,-0.3848819,23709466593.9932,9.09,17.621
